2024-05-31 08:20:54,715 - Total number of samples: 875
2024-05-31 08:26:33,505 - Batch [49 / 54], Loss: 9.344245
2024-05-31 08:26:35,252 - Batch [50 / 54], Loss: 11.561630
2024-05-31 08:26:36,989 - Batch [51 / 54], Loss: 9.992514
2024-05-31 08:26:38,752 - Batch [52 / 54], Loss: 8.386045
2024-05-31 08:26:40,499 - Batch [53 / 54], Loss: 8.737143
2024-05-31 08:26:42,254 - Batch [54 / 54], Loss: 11.220814
2024-05-31 08:26:43,764 - Epoch Time: 1.5534981687863667 minutes
2024-05-31 08:26:43,765 - Epoch: 5
2024-05-31 08:26:43,765 - Current Learning Rate: [0.01]
2024-05-31 08:26:44,118 - Batch [1 / 54], Loss: 10.198294
2024-05-31 08:26:45,932 - Batch [2 / 54], Loss: 13.655942
2024-05-31 08:26:47,752 - Batch [3 / 54], Loss: 11.258244
2024-05-31 08:26:49,547 - Batch [4 / 54], Loss: 10.484670
2024-05-31 08:26:51,355 - Batch [5 / 54], Loss: 14.094192
2024-05-31 08:26:53,173 - Batch [6 / 54], Loss: 11.056170
2024-05-31 08:26:54,971 - Batch [7 / 54], Loss: 10.871820
2024-05-31 08:26:56,780 - Batch [8 / 54], Loss: 12.238027
2024-05-31 08:26:58,586 - Batch [9 / 54], Loss: 11.423813
2024-05-31 08:27:00,400 - Batch [10 / 54], Loss: 10.103650
2024-05-31 08:27:02,185 - Batch [11 / 54], Loss: 9.951038
2024-05-31 08:27:03,940 - Batch [12 / 54], Loss: 10.923330
2024-05-31 08:27:05,700 - Batch [13 / 54], Loss: 11.586901
2024-05-31 08:27:07,453 - Batch [14 / 54], Loss: 10.856167
2024-05-31 08:27:09,198 - Batch [15 / 54], Loss: 11.715189
2024-05-31 08:27:10,945 - Batch [16 / 54], Loss: 14.411520
2024-05-31 08:27:12,683 - Batch [17 / 54], Loss: 10.500945
2024-05-31 08:27:14,423 - Batch [18 / 54], Loss: 9.216393
2024-05-31 08:27:16,147 - Batch [19 / 54], Loss: 9.252570
2024-05-31 08:27:17,859 - Batch [20 / 54], Loss: 12.498920
2024-05-31 08:27:19,568 - Batch [21 / 54], Loss: 9.517550
2024-05-31 08:27:21,286 - Batch [22 / 54], Loss: 11.478214
2024-05-31 08:27:22,996 - Batch [23 / 54], Loss: 9.233639
2024-05-31 08:27:24,714 - Batch [24 / 54], Loss: 10.645627
2024-05-31 08:27:26,428 - Batch [25 / 54], Loss: 8.653078
2024-05-31 08:27:28,106 - Batch [26 / 54], Loss: 9.745902
2024-05-31 08:27:29,801 - Batch [27 / 54], Loss: 10.670132
2024-05-31 08:27:31,491 - Batch [28 / 54], Loss: 9.912858
2024-05-31 08:27:33,188 - Batch [29 / 54], Loss: 10.924948
2024-05-31 08:27:34,888 - Batch [30 / 54], Loss: 12.820541
2024-05-31 08:27:36,590 - Batch [31 / 54], Loss: 12.063818
2024-05-31 08:27:38,297 - Batch [32 / 54], Loss: 13.651807
2024-05-31 08:27:40,000 - Batch [33 / 54], Loss: 8.304751
2024-05-31 08:27:41,710 - Batch [34 / 54], Loss: 12.594193
2024-05-31 08:27:43,414 - Batch [35 / 54], Loss: 9.324028
2024-05-31 08:27:45,102 - Batch [36 / 54], Loss: 10.512151
2024-05-31 08:27:46,805 - Batch [37 / 54], Loss: 13.003751
2024-05-31 08:27:48,505 - Batch [38 / 54], Loss: 9.376638
2024-05-31 08:27:50,193 - Batch [39 / 54], Loss: 9.013957
2024-05-31 08:27:51,879 - Batch [40 / 54], Loss: 11.009418
2024-05-31 08:27:53,569 - Batch [41 / 54], Loss: 10.268697
2024-05-31 08:27:55,263 - Batch [42 / 54], Loss: 10.626725
2024-05-31 08:27:56,975 - Batch [43 / 54], Loss: 11.236001
2024-05-31 08:27:58,692 - Batch [44 / 54], Loss: 12.491281
2024-05-31 08:28:00,418 - Batch [45 / 54], Loss: 11.561502
2024-05-31 08:28:02,130 - Batch [46 / 54], Loss: 9.699661
2024-05-31 08:28:03,830 - Batch [47 / 54], Loss: 8.654420
2024-05-31 08:28:05,527 - Batch [48 / 54], Loss: 11.836462
2024-05-31 08:28:07,221 - Batch [49 / 54], Loss: 9.743073
2024-05-31 08:28:08,919 - Batch [50 / 54], Loss: 11.011937
2024-05-31 08:28:10,615 - Batch [51 / 54], Loss: 8.655520
2024-05-31 08:28:12,301 - Batch [52 / 54], Loss: 8.713734
2024-05-31 08:28:13,984 - Batch [53 / 54], Loss: 9.691709
2024-05-31 08:28:15,657 - Batch [54 / 54], Loss: 13.095911
2024-05-31 08:28:17,099 - Epoch Time: 1.555562170346578 minutes
2024-05-31 08:28:17,099 - Epoch: 6
2024-05-31 08:28:17,099 - Current Learning Rate: [0.01]
2024-05-31 08:28:17,438 - Batch [1 / 54], Loss: 14.679117
2024-05-31 08:28:19,121 - Batch [2 / 54], Loss: 11.499067
2024-05-31 08:28:20,791 - Batch [3 / 54], Loss: 11.600139
2024-05-31 08:28:22,482 - Batch [4 / 54], Loss: 13.029159
2024-05-31 08:28:24,154 - Batch [5 / 54], Loss: 13.529556
2024-05-31 08:28:25,822 - Batch [6 / 54], Loss: 9.457611
2024-05-31 08:28:27,486 - Batch [7 / 54], Loss: 13.217729
2024-05-31 08:28:29,148 - Batch [8 / 54], Loss: 11.307262
2024-05-31 08:28:30,803 - Batch [9 / 54], Loss: 11.503489
2024-05-31 08:28:32,479 - Batch [10 / 54], Loss: 9.045120
2024-05-31 08:28:34,155 - Batch [11 / 54], Loss: 9.831177
2024-05-31 08:28:35,838 - Batch [12 / 54], Loss: 12.829360
2024-05-31 08:28:37,540 - Batch [13 / 54], Loss: 8.588548
2024-05-31 08:28:39,244 - Batch [14 / 54], Loss: 11.203827
2024-05-31 08:28:40,962 - Batch [15 / 54], Loss: 8.592175
2024-05-31 08:28:42,676 - Batch [16 / 54], Loss: 7.885839
2024-05-31 08:28:44,390 - Batch [17 / 54], Loss: 11.164609
2024-05-31 08:28:46,099 - Batch [18 / 54], Loss: 8.756816
2024-05-31 08:28:47,823 - Batch [19 / 54], Loss: 10.359712
2024-05-31 08:28:49,557 - Batch [20 / 54], Loss: 11.674067
2024-05-31 08:28:51,275 - Batch [21 / 54], Loss: 12.642421
2024-05-31 08:28:52,978 - Batch [22 / 54], Loss: 11.029634
2024-05-31 08:28:54,686 - Batch [23 / 54], Loss: 9.337455
2024-05-31 08:28:56,394 - Batch [24 / 54], Loss: 14.726295
2024-05-31 08:28:58,117 - Batch [25 / 54], Loss: 10.121755
2024-05-31 08:28:59,813 - Batch [26 / 54], Loss: 12.795867
2024-05-31 08:29:01,505 - Batch [27 / 54], Loss: 9.846294
2024-05-31 08:29:03,194 - Batch [28 / 54], Loss: 10.831772
2024-05-31 08:29:04,890 - Batch [29 / 54], Loss: 9.385155
2024-05-31 08:29:06,579 - Batch [30 / 54], Loss: 10.720668
2024-05-31 08:29:08,260 - Batch [31 / 54], Loss: 8.613286
2024-05-31 08:29:09,943 - Batch [32 / 54], Loss: 7.325645
2024-05-31 08:29:11,617 - Batch [33 / 54], Loss: 10.602435
2024-05-31 08:29:13,279 - Batch [34 / 54], Loss: 10.728090
2024-05-31 08:29:14,935 - Batch [35 / 54], Loss: 10.246954
2024-05-31 08:29:16,613 - Batch [36 / 54], Loss: 11.459002
2024-05-31 08:29:18,277 - Batch [37 / 54], Loss: 9.639197
2024-05-31 08:29:19,934 - Batch [38 / 54], Loss: 10.264115
2024-05-31 08:29:21,600 - Batch [39 / 54], Loss: 8.083156
2024-05-31 08:29:23,235 - Batch [40 / 54], Loss: 11.173788
2024-05-31 08:29:24,862 - Batch [41 / 54], Loss: 9.679945
2024-05-31 08:29:26,514 - Batch [42 / 54], Loss: 9.698854
2024-05-31 08:29:28,159 - Batch [43 / 54], Loss: 9.059310
2024-05-31 08:29:29,813 - Batch [44 / 54], Loss: 8.967268
2024-05-31 08:29:31,468 - Batch [45 / 54], Loss: 10.143325
2024-05-31 08:29:33,109 - Batch [46 / 54], Loss: 9.106328
2024-05-31 08:29:34,750 - Batch [47 / 54], Loss: 9.511874
2024-05-31 08:29:36,388 - Batch [48 / 54], Loss: 11.769697
2024-05-31 08:29:38,031 - Batch [49 / 54], Loss: 9.785104
2024-05-31 08:29:39,670 - Batch [50 / 54], Loss: 10.250057
2024-05-31 08:29:41,336 - Batch [51 / 54], Loss: 10.567976
2024-05-31 08:29:42,979 - Batch [52 / 54], Loss: 9.710554
2024-05-31 08:29:44,634 - Batch [53 / 54], Loss: 11.249909
2024-05-31 08:29:46,292 - Batch [54 / 54], Loss: 10.303214
2024-05-31 08:29:47,702 - Epoch Time: 1.510045842329661 minutes
2024-05-31 08:29:47,702 - Epoch: 7
2024-05-31 08:29:47,702 - Current Learning Rate: [0.01]
2024-05-31 08:29:48,039 - Batch [1 / 54], Loss: 8.936507
2024-05-31 08:29:49,707 - Batch [2 / 54], Loss: 10.135788
2024-05-31 08:29:51,362 - Batch [3 / 54], Loss: 6.949315
2024-05-31 08:29:53,011 - Batch [4 / 54], Loss: 11.016807
2024-05-31 08:29:54,691 - Batch [5 / 54], Loss: 8.783277
2024-05-31 08:29:56,354 - Batch [6 / 54], Loss: 13.530630
2024-05-31 08:29:58,031 - Batch [7 / 54], Loss: 12.731483
2024-05-31 08:29:59,693 - Batch [8 / 54], Loss: 6.341713
2024-05-31 08:30:01,372 - Batch [9 / 54], Loss: 9.128291
2024-05-31 08:30:03,065 - Batch [10 / 54], Loss: 9.443795
2024-05-31 08:30:04,768 - Batch [11 / 54], Loss: 11.005962
2024-05-31 08:30:06,460 - Batch [12 / 54], Loss: 10.495767
2024-05-31 08:30:08,171 - Batch [13 / 54], Loss: 9.314381
2024-05-31 08:30:09,872 - Batch [14 / 54], Loss: 10.308652
2024-05-31 08:30:11,557 - Batch [15 / 54], Loss: 11.436681
2024-05-31 08:30:13,275 - Batch [16 / 54], Loss: 7.833086
2024-05-31 08:30:14,963 - Batch [17 / 54], Loss: 8.960260
2024-05-31 08:30:16,666 - Batch [18 / 54], Loss: 8.407441
2024-05-31 08:30:18,342 - Batch [19 / 54], Loss: 8.538125
2024-05-31 08:30:20,022 - Batch [20 / 54], Loss: 9.197038
2024-05-31 08:30:21,696 - Batch [21 / 54], Loss: 10.582548
2024-05-31 08:30:23,365 - Batch [22 / 54], Loss: 7.835464
2024-05-31 08:30:25,056 - Batch [23 / 54], Loss: 11.740645
2024-05-31 08:30:26,746 - Batch [24 / 54], Loss: 10.617872
2024-05-31 08:30:28,437 - Batch [25 / 54], Loss: 9.373633
2024-05-31 08:30:30,136 - Batch [26 / 54], Loss: 11.704471
2024-05-31 08:30:31,836 - Batch [27 / 54], Loss: 10.438660
2024-05-31 08:30:33,550 - Batch [28 / 54], Loss: 7.538558
2024-05-31 08:30:35,223 - Batch [29 / 54], Loss: 10.113358
2024-05-31 08:30:36,914 - Batch [30 / 54], Loss: 10.447618
2024-05-31 08:30:38,583 - Batch [31 / 54], Loss: 10.072040
2024-05-31 08:30:40,273 - Batch [32 / 54], Loss: 10.805742
2024-05-31 08:30:41,983 - Batch [33 / 54], Loss: 12.432853
2024-05-31 08:30:43,670 - Batch [34 / 54], Loss: 10.850400
2024-05-31 08:30:45,362 - Batch [35 / 54], Loss: 10.485362
2024-05-31 08:30:47,024 - Batch [36 / 54], Loss: 10.530401
2024-05-31 08:30:48,707 - Batch [37 / 54], Loss: 10.535850
2024-05-31 08:30:50,376 - Batch [38 / 54], Loss: 9.338114
2024-05-31 08:30:52,067 - Batch [39 / 54], Loss: 9.432565
2024-05-31 08:30:53,745 - Batch [40 / 54], Loss: 12.670595
2024-05-31 08:30:55,424 - Batch [41 / 54], Loss: 11.279279
2024-05-31 08:30:57,133 - Batch [42 / 54], Loss: 11.899056
2024-05-31 08:30:58,814 - Batch [43 / 54], Loss: 9.427223
2024-05-31 08:31:00,474 - Batch [44 / 54], Loss: 8.637716
