2024-05-31 10:00:25,330 - Total number of samples: 875
2024-05-31 10:02:20,514 - Batch [51 / 54], Loss: 11.978323
2024-05-31 10:02:20,952 - Batch [52 / 54], Loss: 11.705203
2024-05-31 10:02:21,645 - Batch [53 / 54], Loss: 13.126093
2024-05-31 10:02:22,126 - Batch [54 / 54], Loss: 13.832937
2024-05-31 10:02:22,561 - Epoch Time: 0.46855529546737673 minutes
2024-05-31 10:02:22,562 - Epoch: 5
2024-05-31 10:02:22,562 - Current Learning Rate: [0.01]
2024-05-31 10:02:22,880 - Batch [1 / 54], Loss: 14.515528
2024-05-31 10:02:23,369 - Batch [2 / 54], Loss: 15.867579
2024-05-31 10:02:23,846 - Batch [3 / 54], Loss: 14.925400
2024-05-31 10:02:24,306 - Batch [4 / 54], Loss: 18.152370
2024-05-31 10:02:24,774 - Batch [5 / 54], Loss: 16.348078
2024-05-31 10:02:25,441 - Batch [6 / 54], Loss: 13.337308
2024-05-31 10:02:25,945 - Batch [7 / 54], Loss: 12.145212
2024-05-31 10:02:26,422 - Batch [8 / 54], Loss: 10.730702
2024-05-31 10:02:26,939 - Batch [9 / 54], Loss: 13.866150
2024-05-31 10:02:27,802 - Batch [10 / 54], Loss: 18.519135
2024-05-31 10:02:28,447 - Batch [11 / 54], Loss: 9.362414
2024-05-31 10:02:29,463 - Batch [12 / 54], Loss: 10.077311
2024-05-31 10:02:30,535 - Batch [13 / 54], Loss: 9.444242
2024-05-31 10:02:31,099 - Batch [14 / 54], Loss: 11.306087
2024-05-31 10:02:31,660 - Batch [15 / 54], Loss: 12.490012
2024-05-31 10:02:32,079 - Batch [16 / 54], Loss: 13.743349
2024-05-31 10:02:32,472 - Batch [17 / 54], Loss: 9.112706
2024-05-31 10:02:32,864 - Batch [18 / 54], Loss: 16.125357
2024-05-31 10:02:33,226 - Batch [19 / 54], Loss: 10.632116
2024-05-31 10:02:33,612 - Batch [20 / 54], Loss: 11.130511
2024-05-31 10:02:33,921 - Batch [21 / 54], Loss: 10.099563
2024-05-31 10:02:34,352 - Batch [22 / 54], Loss: 12.576657
2024-05-31 10:02:34,827 - Batch [23 / 54], Loss: 12.830212
2024-05-31 10:02:35,357 - Batch [24 / 54], Loss: 8.820110
2024-05-31 10:02:36,076 - Batch [25 / 54], Loss: 12.321926
